rank,score,confidence,seniority,company_name,company_url,company_source,title,job_url,type_of_work,hours_per_week,date_updated,salary,estimated_monthly_usd,skill_requirement,why,summary
162,52,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Remote Systems & Automations Manager - FT,https://www.onlinejobs.ph/jobseekers/job/Remote-Systems-Automations-Manager-FT-1674041,Full Time,40,"Jun 30, 2026",$2400,2400.0,Workflow Systems Administration AI Automation,"AI/build signals: ai tools, ai automation | Build surface: dashboard, dashboards, repo, api, database, automation, automations, workflow | Code/build substrate: dashboard, dashboards, repo, api, database | Trainable language: va, sop, learn | Scarcity/seniority signal: senior, lead, manager, architect, expert","Title: Remote Systems & Automations Manager (Airtable & AI Automations Focused) Schedule: 9 am- 5 pm EET (GREECE time zone) Hours: 40-45 Hours Rate of Pay: $1,920 - $2,400 a month ($12-15/hr) This role will begin by auditing and strengthening the business’s..."
163,52,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Expert Meta Ads Manager & AI Creative Specialist (24 hrs/wk ? Full-Time),https://www.onlinejobs.ph/jobseekers/job/Expert-Meta-Ads-Manager-AI-Creative-Specialist-24-hrswk-Full-Time-1677104,Full Time,36,"Jun 26, 2026",N/A,,Content Creation Facebook Ads Meta Business Suite,"Explicit tools: lovable | AI/build signals: claude | Build surface: website, repo, api, ghl, funnel | Code/build substrate: repo, api, lovable | Trainable language: va | Scarcity/seniority signal: manager, architect, expert","About Us We're brand architects. Not decorators. Our agency was built for the founders who'd rather be unforgettable than agreeable. Cinematic, declarative, certain — we architect names people repeat. We deliver full-funnel Meta ad campaigns built to drive..."
164,52,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Expert Meta Ads Manager & AI Creative Specialist (24 hrs/wk ? Full-Time),https://www.onlinejobs.ph/jobseekers/job/Expert-Meta-Ads-Manager-AI-Creative-Specialist-24-hrswk-Full-Time-1677658,Full Time,24,"Jun 28, 2026",$960 / 4 weeks,960.0,,"Explicit tools: lovable | AI/build signals: claude | Build surface: website, repo, api, ghl, funnel | Code/build substrate: repo, api, lovable | Trainable language: va | Scarcity/seniority signal: manager, architect, expert","About Us We're brand architects. Not decorators. Our agency was built for the founders who'd rather be unforgettable than agreeable. Cinematic, declarative, certain — we architect names people repeat. We deliver full-funnel Meta ad campaigns built to drive..."
165,52,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Partnership & Operations/PayroManager – Remote,https://www.onlinejobs.ph/jobseekers/job/Partnership-OperationsPayroManager-Remote-1677144,Full Time,40,"Jun 26, 2026",$750/month,750.0,Payroll CRM Operation Management,"Explicit tools: claude code | AI/build signals: claude | Build surface: repo, workflow, workflows, ghl | Code/build substrate: repo, claude code | Trainable language: va, sop | Scarcity/seniority signal: lead, manager","**Full-Time | Remote, EST Time** We are a growing telecommunications company seeking a highly organized and detail-oriented Partnerships Operations Coordinator/Payroll manager to support our expanding team and partner network. You'll manage partner..."
166,51,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Business Operations & Marketing Coordinator,https://www.onlinejobs.ph/jobseekers/job/Business-Operations-Marketing-Coordinator-1644019,Full Time,40,"Jun 29, 2026",$700 - $1200 per month,1200.0,Email Marketing Google Ads Facebook Ads,"AI/build signals: claude, chatgpt, ai tools | Build surface: dashboard, dashboards, repo, workflow, workflows, ghl, shopify | Code/build substrate: dashboard, dashboards, repo | Trainable language: va, learn | Scarcity/seniority signal: manager","We are a fast-growing clean beauty brand looking for a highly organized and execution-focused Business Operations & Marketing Coordinator to help support day-to-day business operations, marketing execution, and digital workflows. This is not a high-level..."
167,51,Adjacent AI web/automation builder,Junior or trainable,Wetracked,https://wetracked.io,inferred_from_domain,Funnelish Funnel Builder (Project-Based) – Health & Beauty E-commerce,https://www.onlinejobs.ph/jobseekers/job/Funnelish-Funnel-Builder-Project-Based-Health-Beauty-E-commerce-1678171,Any,25,"Jun 28, 2026",Hourly Rate To Be Discussed,,Shopify HTML Funnelish,"AI/build signals: claude, chatgpt, ai tools | Build surface: repo, html, css, javascript, funnel, funnels, shopify | Code/build substrate: repo, html, css, javascript | Trainable language: va, sop","About us We run two growing health & beauty e-commerce brands (UK + AUS) — driving traffic through Meta Ads to advertorial funnels built on Funnelish, with checkout on Shopify. We're a small, fast-moving team and we're looking for a reliable Funnelish builder..."
168,51,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Operations Coordinator (AI-Driven Project & Task Management),https://www.onlinejobs.ph/jobseekers/job/Operations-Coordinator-AI-Driven-Project-Task-Management-1675514,Part Time,10,"Jun 25, 2026",$5/hour,866.0,Operation Management AI Tools Team Leadership,"AI/build signals: claude, ai tools, mcp | Build surface: repo, api, webhook, webhooks, automation, automations, ghl | Code/build substrate: repo, api, webhook, webhooks, mcp | Trainable language: va, sop | Scarcity/seniority signal: lead","KeepUpMedia is a North American marketing agency for premium medical clinics. We move fast, run lean, and live in Slack, WhatsApp, and Asana. I'm hiring an Operations Coordinator to be the person who makes sure nothing we say we'll do ever slips through the..."
169,51,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Brand M3dia Group,https://brandm3dia.com,inferred_from_listing_header,Virtual Executive Assistant to the CEO,https://www.onlinejobs.ph/jobseekers/job/Virtual-Executive-Assistant-to-the-CEO-1668948,Full Time,40,"Jun 30, 2026","35,000-45,000",775.86,,"AI/build signals: claude, chatgpt, ai tools | Build surface: website, repo, api, automation, workflow, workflows, ghl | Code/build substrate: repo, api | Trainable language: assistant, va | Scarcity/seniority signal: senior, lead","Virtual Executive Assistant to the CEO Part-Time and Full-Time Opportunities Available About the Role Brand M3dia is seeking a highly organized, proactive, and tech-savvy Virtual Executive Assistant to support our CEO in managing day-to-day operations..."
170,51,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Brand M3dia Group,https://brandm3dia.com,inferred_from_listing_header,Virtual Executive Assistant to the CEO,https://www.onlinejobs.ph/jobseekers/job/Virtual-Executive-Assistant-to-the-CEO-1680299,Full Time,40,"Jul 1, 2026",PHP 35000-45000,775.86,,"AI/build signals: claude, chatgpt, ai tools | Build surface: website, repo, api, automation, workflow, workflows, ghl | Code/build substrate: repo, api | Trainable language: assistant, va | Scarcity/seniority signal: senior, lead","Virtual Executive Assistant to the CEO Part-Time and Full-Time Opportunities Available About the Role Brand M3dia is seeking a highly organized, proactive, and tech-savvy Virtual Executive Assistant to support our CEO in managing day-to-day operations..."
171,49,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",THE BRAND TheUnderShadow.com,https://theundershadow.com,inferred_from_description,CRM ARCHITECT & INTELLIGENCE NETWORK ENGINEER,https://www.onlinejobs.ph/jobseekers/job/CRM-ARCHITECT-INTELLIGENCE-NETWORK-ENGINEER-1657957,Gig,20,"Jun 25, 2026",$5/hr,866.0,CRM Marketing Automation Web Design & Page Layout,"AI/build signals: llm | Build surface: website, dashboard, react, repo, automation, ghl, funnel, funnels | Code/build substrate: dashboard, react, repo | Trainable language: va, sop, templates, learn | Scarcity/seniority signal: lead, architect, expert, advanced","ABOUT THE BRAND TheUnderShadow.com is the official home of the UnderShadow Universe — a creator-owned intellectual property ecosystem encompassing published novels, branded merchandise (APEX Apparel line), a board game in development, collectibles, future..."
172,49,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Frisco Web Agency,,inferred_from_description,ClickUp Project Manager (Websites and SEO),https://www.onlinejobs.ph/jobseekers/job/ClickUp-Project-Manager-Websites-and-SEO-1678240,Full Time,40,"Jun 28, 2026",500/month,500.0,Sop Writing Software Development Project Manager Communication,"AI/build signals: llm | Build surface: website, websites, dashboard, dashboards, repo, automation, automations, workflow | Code/build substrate: dashboard, dashboards, repo | Trainable language: va, sop, templates, learn | Scarcity/seniority signal: lead, manager, advanced","# Full-Time Project Manager for Web Design and SEO Agency ## About Frisco Web Agency Frisco Web Agency is a growing web design and digital marketing agency based in Frisco, Texas. Our primary service is designing and developing custom websites for..."
173,49,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Conversion Rate Optimisation (CRO) & E-commerce Specialist (WordPress & Shopify),https://www.onlinejobs.ph/jobseekers/job/Conversion-Rate-Optimisation-CRO-E-commerce-Specialist-WordPress-Shopify-1677053,Any,40,"Jun 26, 2026",$1100,1100.0,Product Optimization Web Design & Page Layout Landing Page Design,"AI/build signals: claude, chatgpt, ai tools | Build surface: website, websites, landing page, landing pages, repo, html, css, api | Code/build substrate: repo, html, css, api | Trainable language: va | Scarcity/seniority signal: lead, manager, mentor","About Us We are building multiple high growth consumer brands and are looking for someone who wants to become a long-term member of our team rather than just completing oneoff projects. Our first business is Win Your PIP, a UK-based service helping people..."
174,49,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Healthy Vision Institute,,exposed_company_or_brand,GoHighLevel Specialist + Website+Video & Social Media Creator,https://www.onlinejobs.ph/jobseekers/job/GoHighLevel-Specialist-WebsiteVideo-Social-Media-Creator-1665101,Full Time,45,"Jun 25, 2026",$600-$750 base + huge bonus,750.0,Social Media Content Creation Google Sites AI Automation,"AI/build signals: ai automation | Build surface: website, landing page, landing pages, dashboard, dashboards, repo, api, automation | Code/build substrate: dashboard, dashboards, repo, api | Trainable language: va, will train, sop, templates | Scarcity/seniority signal: senior, lead, manager, advanced","GoHighLevel Specialist + Website+Video & Social Media Creator Remote · Full-Time · US Eye-Care Medical Group (Florida) Base $700–$1,100 USD/month + uncapped new-patient bonuses that can DOUBLE your base. Read This First This is not a generic VA job. We are..."
175,49,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",N360 Group,,inferred_from_listing_header,Project Manager / Executive Assistant,https://www.onlinejobs.ph/jobseekers/job/Project-Manager-Executive-Assistant-1679831,Any,20,"Jun 30, 2026",DOE,,Financial Accounting Project Management Executive Assistance,"AI/build signals: claude, chatgpt, ai tools | Build surface: dashboard, dashboards, repo, workflow, workflows | Code/build substrate: dashboard, dashboards, repo | Trainable language: assistant, va, sop, learn | Scarcity/seniority signal: lead, manager",# Operations Coordinator / Executive Assistant **Remote | Full-Time | Philippines** We're looking for an organized Operations Coordinator to help keep our business running efficiently behind the scenes. This position supports leadership with reporting...
176,49,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Academy of Learning Career College,,exposed_company_or_brand,Recruitment and Marketing Coordinator,https://www.onlinejobs.ph/jobseekers/job/Recruitment-and-Marketing-Coordinator-1678837,Full Time,42,"Jul 1, 2026",$4 per hour,692.8,,"AI/build signals: claude, chatgpt, ai tools | Build surface: website, repo, html, ghl, wordpress | Code/build substrate: repo, html | Trainable language: assistant, va, virtual assistant, learn | Scarcity/seniority signal: lead, expert","Job Title: Virtual Assistant - Recruitment and Marketing Coordinator Department: Business Development Hours: Full-Time (7 hours/day, 6 days/week) Schedule: Toronto Time (EST/EDT) Location: Remote / Offshore Job Overview We are looking for an exceptionally..."
177,49,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,TikTok Shop VA,https://www.onlinejobs.ph/jobseekers/job/TikTok-Shop-VA-1676448,Full Time,40,"Jun 25, 2026",$1000/month,1000.0,,"AI/build signals: llm | Build surface: dashboard, repo, api, webhook, webhooks, automation, automations, workflow | Code/build substrate: dashboard, repo, api, webhook, webhooks | Trainable language: assistant, va, virtual assistant, sop, templates | Scarcity/seniority signal: lead, manager",TikTok Shop Virtual Assistant 1.) TikTok Shop Operations Manager 2.) Tiktok Shop Sampling / Affiliate Manager 3.) Tiktok Shop Community Manager Job Title: TikTok Shop Operations Manager Ownership / Scope: Responsible for end-to-end TikTok Shop operations...
178,49,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Forms,https://forms.fillout.com,inferred_from_domain,Virtual Assistant with Airtable Experience,https://www.onlinejobs.ph/jobseekers/job/Virtual-Assistant-with-Airtable-Experience-1679535,Part Time,10,"Jun 30, 2026",$7 - $15 USD / hour,15.0,Airtable Attention to Detail Virtual Assistant,"AI/build signals: llm | Build surface: repo, api, database, automation, automations, workflow, workflows, ghl | Code/build substrate: repo, api, database | Trainable language: assistant, va, virtual assistant, sop, templates | Scarcity/seniority signal: lead, expert","About the Role We’re looking for a detail-obsessed, highly organized Virtual Assistant to be the operational backbone of Arise Financial Coaching. This is a behind-the-scenes, keep-everything-moving kind of role — the person who makes sure nothing falls..."
179,49,Adjacent AI web/automation builder,Junior or trainable,Us NP Board Academy,,inferred_from_description,"WordPress, Acuity & Social Media Operations Assistant",https://www.onlinejobs.ph/jobseekers/job/WordPress-Acuity-Social-Media-Operations-Assistant-1677257,Part Time,10,"Jun 26, 2026",3,3.0,,"AI/build signals: chatgpt | Build surface: website, landing page, landing pages, repo, html, css, workflow, workflows | Code/build substrate: repo, html, css | Trainable language: assistant, va, coachable, learn","About Us NP Board Academy is a growing online healthcare education company that prepares Psychiatric Mental Health Nurse Practitioner (PMHNP) students for board certification. We are looking for a highly organized, proactive, and coachable team member to..."
180,49,High-confidence vibe coding,Junior or trainable,Just Us Ecom LLC,,exposed_company_or_brand,DIRECT RESPONSE VIDEO EDITOR,https://www.onlinejobs.ph/jobseekers/job/DIRECT-RESPONSE-VIDEO-EDITOR-1678730,Part Time,24,"Jun 29, 2026",$10/hour,1732.0,Video Editing Video Marketing AI Video Generation,"Explicit tools: claude code | AI/build signals: claude, ai tools | Build surface: repo, workflow | Code/build substrate: repo, claude code | Trainable language: va, sop","We're a fast-moving brand selling to the Mexican market, and we're looking for a part-time / per-project Video Editor who can use AI tools to produce realistic, original content that converts. This isn't a stock-footage-and-transitions role. We need someone..."
181,48,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,AI & Business Growth Specialist,https://www.onlinejobs.ph/jobseekers/job/AI-Business-Growth-Specialist-1679490,Part Time,25,"Jun 30, 2026",$5.00/hour (Performance & Revenue Review,866.0,Marketing Social Media Management Artificial Intelligence,"AI/build signals: ai tools, prompt engineering | Build surface: dashboard, dashboards, repo, api, apis, webhook, webhooks, automation | Code/build substrate: dashboard, dashboards, repo, api, apis, webhook | Trainable language: va, sop | Scarcity/seniority signal: lead, architect, expert, security, scalability","Job Title: AI & Business Growth Specialist Location: Remote Job Type: Part-Time | Long-Term Starting Rate: $5.00/hour (Performance & Revenue Review After 90 Days) Overview We are seeking a highly skilled, systems-oriented professional with expertise in AI..."
182,48,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,"AI Specialist & Automation Architect (ChatGPT, Claude, M365, Workflow Automation)",https://www.onlinejobs.ph/jobseekers/job/AI-Specialist-Automation-Architect-ChatGPT-Claude-M365-Workflow-Automation-1677150,Any,TBD,"Jun 26, 2026",$1500 - $5000 per month,5000.0,,"AI/build signals: claude, chatgpt, ai tools, prompt engineering | Build surface: repo, api, automation, workflow, workflows, ghl | Code/build substrate: repo, api | Trainable language: va | Scarcity/seniority signal: lead, manager, architect, expert, advanced",About the Role: We are looking for a highly skilled and proactive AI Specialist from the Philippines to join our team. We are currently developing custom AI solutions designed to support our district managers and leadership teams with daily operational...
183,48,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Snov,https://snov.io,inferred_from_domain,Backlink Outreach & Link Building Specialist - Base + Performance Bonus,https://www.onlinejobs.ph/jobseekers/job/Backlink-Outreach-Link-Building-Specialist-Base-Performance-Bonus-1680914,Full Time,TBD,"Jul 2, 2026",1200,1200.0,SEO Off-Page Backlinks Management,"AI/build signals: claude, chatgpt, ai tools, perplexity | Build surface: website, websites, repo, api, workflow, workflows | Code/build substrate: repo, api | Trainable language: va | Scarcity/seniority signal: lead, expert","About CrowdReply CrowdReply is an AI brand visibility platform that helps brands see and improve how AI models like ChatGPT, Google AI Mode, Perplexity and Gemini talk about them. We're operating in one of the most exciting, fast-moving spaces in marketing..."
184,48,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Symple Marketing,https://kyor.co,inferred_from_listing_header,Creative Strategist (Performance Marketing) [Singapore Company],https://www.onlinejobs.ph/jobseekers/job/Creative-Strategist-Performance-Marketing-Singapore-Company-1676948,Full Time,40,"Jun 26, 2026",$700-$1800,1800.0,Facebook Ads Ads Creation Creative Advertising,"AI/build signals: claude, chatgpt, ai tools, prompt engineering | Build surface: website, repo, api, workflow | Code/build substrate: repo, api | Trainable language: va, templates, learn | Scarcity/seniority signal: manager","Creative Strategist — KYOR (Performance Creative) 1) About Us Symple Wellness created KYOR, a science-backed wellness brand focused on clean formulations, clinically studied ingredients, and real results. Our hero product line is designed to simplify skincare..."
185,48,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",U247,https://u247.us,inferred_from_domain,DevOps Engineer,https://www.onlinejobs.ph/jobseekers/job/DevOps-Engineer-1652859,Full Time,40,"Jun 30, 2026",Very competitive based on experience,,,"AI/build signals: claude, ai tools | Build surface: react, repo, python, database, automation, automations, workflow, workflows | Code/build substrate: react, repo, python, database | Trainable language: va, learn | Scarcity/seniority signal: lead, security",If your instinct when something breaks is to fix the pipeline before fixing the symptom — this role was built for you. To apply please fill out the application form here: u247.us/bepartofourteam. About the company We're a family-owned business with all-local...
186,48,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Executive Assistant & Chief of Staff to Real Estate Entrepreneur,https://www.onlinejobs.ph/jobseekers/job/Executive-Assistant-Chief-of-Staff-to-Real-Estate-Entrepreneur-1677869,Full Time,40,"Jun 27, 2026",$12 per hour,2078.4,Property Management Operation Management Executive Assistance,"AI/build signals: chatgpt, ai tools | Build surface: dashboard, repo, automation, workflow, workflows, ghl | Code/build substrate: dashboard, repo | Trainable language: assistant, va, entry-level, sop, learn | Scarcity/seniority signal: manager, advanced, 10+ years","Executive Assistant / Chief of Staff to Real Estate Entrepreneur This is a fairly long job post requiring careful reading, and there are many questions to answer as part of this process. It may take some time but it could very well be worth it because we are..."
187,48,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Growth & Digital Outreach Specialist,https://www.onlinejobs.ph/jobseekers/job/Growth-Digital-Outreach-Specialist-1676505,Full Time,TBD,"Jun 25, 2026",1000,1000.0,Figma Google Sheets AI Tools,"AI/build signals: claude, chatgpt, ai tools, llm | Build surface: website, websites, repo, database, workflow | Code/build substrate: repo, database | Trainable language: va, templates | Scarcity/seniority signal: expert","ABOUT THE ROLE We're building out our organic growth engine — affiliate partnerships, citation acquisition, and AI-assisted content — and we need someone to drive this work at scale. This role lives in research, spreadsheets, outreach databases, and analytics..."
188,48,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Caliberworkforce,https://caliberworkforce.com,inferred_from_domain,Operations Architect (Home Services),https://www.onlinejobs.ph/jobseekers/job/Operations-Architect-Home-Services-1679659,Full Time,40,"Jun 30, 2026",TBD,,,"AI/build signals: claude, chatgpt | Build surface: repo, api, automation, automations, workflow, workflows | Code/build substrate: repo, api | Trainable language: assistant, va, virtual assistant, sop, templates | Scarcity/seniority signal: architect","Caliber Workforce | Operations Architect (Home Services) APPLY HERE: www.caliberworkforce.com/aicareers Caliber Workforce is a premium, AI-fluent staffing platform for founder-operators at growth-stage businesses. We don't place generic virtual assistants. We..."
189,48,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Digital NinjaZ Inc,,exposed_company_or_brand,SEO Specialist / Google Ads / Web Design Assistant,https://www.onlinejobs.ph/jobseekers/job/SEO-Specialist-Google-Ads-Web-Design-Assistant-1665071,Full Time,40,"Jun 25, 2026","Salary (e.g. $750/month, $5/hour)",129900.0,Google Ads Local SEO Web Design & Page Layout,"AI/build signals: chatgpt, ai tools | Build surface: website, websites, repo, html, css, workflow, shopify, wordpress | Code/build substrate: repo, html, css | Trainable language: assistant, va | Scarcity/seniority signal: security","## Job Title: **SEO Specialist with Google Ads & Web Design Experience** ## Job Description Digital NinjaZ is a U.S.-based IT and digital marketing company located in Florida. We help small businesses with managed IT, cybersecurity, websites, SEO, Google Ads..."
190,48,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Senior WordPress Developer / Technical SEO Specialist – Full-Time Remote,https://www.onlinejobs.ph/jobseekers/job/Senior-WordPress-Developer-Technical-SEO-Specialist-Full-Time-Remote-1676288,Full Time,40,"Jun 25, 2026",AUD $10/h,1732.0,SEO Web Development,"AI/build signals: ai tools, llm | Build surface: website, websites, landing page, repo, html, css, javascript, api | Code/build substrate: repo, html, css, javascript, api, cloudflare | Trainable language: va, learn | Scarcity/seniority signal: senior, lead, manager, architect, expert","We are looking for a highly capable **WordPress developer with strong technical SEO experience** to help repair, optimise and grow an established Australian marine/classifieds website. This is **not** a basic web design role. We need someone who can improve..."
191,48,Adjacent AI web/automation builder,Junior or trainable,Company not exposed,,not_exposed,Software Engineer / Data Scientist (Sports Betting + AI),https://www.onlinejobs.ph/jobseekers/job/Software-Engineer-Data-Scientist-Sports-Betting-AI-1674732,Full Time,40,"Jun 25, 2026",TBD,,,"AI/build signals: claude, llm | Build surface: website, websites, github, repo, python, api, apis, database | Code/build substrate: github, repo, python, api, apis, database | Trainable language: va, learn","About Us We're an arbitrage sports-betting company building the systems that find edges, place bets, and manage operations automatically. We use AI throughout the business and are investing heavily in models and automation. You'd be helping build the engine..."
192,48,Adjacent AI web/automation builder,Junior or trainable,Company not exposed,,not_exposed,Software Engineer / Data Scientist (Sports Betting + AI),https://www.onlinejobs.ph/jobseekers/job/Software-Engineer-Data-Scientist-Sports-Betting-AI-1676570,Full Time,40,"Jun 26, 2026",TBD,,,"AI/build signals: claude, llm | Build surface: website, websites, github, repo, python, api, apis, database | Code/build substrate: github, repo, python, api, apis, database | Trainable language: va, learn","About Us We're an arbitrage sports-betting company building the systems that find edges, place bets, and manage operations automatically. We use AI throughout the business and are investing heavily in models and automation. You'd be helping build the engine..."
193,48,Adjacent AI web/automation builder,Junior or trainable,Company not exposed,,not_exposed,Software Engineer / Data Scientist (Sports Betting + AI),https://www.onlinejobs.ph/jobseekers/job/Software-Engineer-Data-Scientist-Sports-Betting-AI-1678102,Full Time,40,"Jun 28, 2026",TBD,,,"AI/build signals: claude, llm | Build surface: website, websites, github, repo, python, api, apis, database | Code/build substrate: github, repo, python, api, apis, database | Trainable language: va, learn","About Us We're an arbitrage sports-betting company building the systems that find edges, place bets, and manage operations automatically. We use AI throughout the business and are investing heavily in models and automation. You'd be helping build the engine..."
194,48,Adjacent AI web/automation builder,Junior or trainable,Company not exposed,,not_exposed,Software Engineer / Data Scientist (Sports Betting + AI),https://www.onlinejobs.ph/jobseekers/job/Software-Engineer-Data-Scientist-Sports-Betting-AI-1679370,Full Time,40,"Jun 30, 2026",TBD,,,"AI/build signals: claude, llm | Build surface: website, websites, github, repo, python, api, apis, database | Code/build substrate: github, repo, python, api, apis, database | Trainable language: va, learn","About Us We're an arbitrage sports-betting company building the systems that find edges, place bets, and manage operations automatically. We use AI throughout the business and are investing heavily in models and automation. You'd be helping build the engine..."
195,48,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,"Virtual Assistant (Marketing, Admin & Systems Support)",https://www.onlinejobs.ph/jobseekers/job/Virtual-Assistant-Marketing-Admin-Systems-Support-1679468,Part Time,20,"Jul 1, 2026",£4,4.0,,"AI/build signals: chatgpt, ai tools | Build surface: website, dashboard, dashboards, repo, automation, ghl | Code/build substrate: dashboard, dashboards, repo | Trainable language: assistant, va, virtual assistant, sop, templates | Scarcity/seniority signal: lead","The role involves supporting Lucy, the Founder of small business RUN OF A KIND ( ---------- ) RUN OF A KIND is Birmingham’s first and only running tour company, now evolving into a wider running events and services provider focused on unique public and..."
196,47,Adjacent AI web/automation builder,Junior or trainable,Aurify,https://aurify.com,inferred_from_domain,AI Prompt Engineer — Creative & Product,https://www.onlinejobs.ph/jobseekers/job/AI-Prompt-Engineer-Creative-Product-1679156,Full Time,40,"Jun 30, 2026",$5-7,7.0,Influencer Content Creation Ads Creation AI Video Creation,"AI/build signals: ai tools, prompt engineering, llm | Build surface: repo, javascript, python, api, workflow, workflows | Code/build substrate: repo, javascript, python, api | Trainable language: va, templates","About the Role Aurify is looking for a Creative AI Prompt Engineer to join our product team. You'll build and refine prompts and workflows across generative AI tools (Higgsfield, ElevenLabs, image/video/voice models, and more) to produce content with real..."
197,47,Adjacent AI web/automation builder,Junior or trainable,Company not exposed,,not_exposed,AI Software Developer for a busy Automotive workshop,https://www.onlinejobs.ph/jobseekers/job/AI-Software-Developer-for-a-busy-Automotive-workshop-1679996,Gig,40,"Jul 1, 2026",$8 per hour,1385.6,,"AI/build signals: claude, chatgpt, ai automation | Build surface: repo, api, automation, workflow, workflows, ghl | Code/build substrate: repo, api | Trainable language: va, sop","Comfortable using: Openrouter, ChatGPT / Claude daily, n8n, Zapier Mobile App development and integration Highly organized and detail-oriented - Good at customer communication Tasks: Customer data entry and cleanup Booking management Customer follow-ups via..."
198,47,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,CaliaOS Implementation Specialist,https://www.onlinejobs.ph/jobseekers/job/CaliaOS-Implementation-Specialist-1678940,Part Time,15,"Jun 29, 2026",5.75,5.75,,"AI/build signals: ai automation | Build surface: website, websites, repo, api, webhook, automation, automations, workflow | Code/build substrate: repo, api, webhook | Trainable language: assistant, va, learn | Scarcity/seniority signal: lead","About CaliaOS CaliaOS is an AI-powered growth platform built specifically for insurance agencies. We don't simply provide software—we implement systems that help agencies capture more opportunities, respond faster, book more appointments, retain more..."
199,47,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Customer Support D2C Manager Role,https://www.onlinejobs.ph/jobseekers/job/Customer-Support-D2C-Manager-Role-1677718,Full Time,45,"Jun 27, 2026",13.00 per hour,2251.6,Shopify Ecommerce Team Leadership,"AI/build signals: llm | Build surface: dashboard, dashboards, repo, workflow, workflows, ghl, shopify | Code/build substrate: dashboard, dashboards, repo | Trainable language: va, fresh, sop, templates, learn | Scarcity/seniority signal: lead, manager, architect, expert","Alex and Ani is an American jewelry brand rooted in purpose, positivity, and self-expression that designs expandable wire bangles, charm bracelets, necklaces, earrings, and rings that are intended to do more than adorn — they enlighten the mind and empower..."
200,47,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Leading with Heart,,exposed_company_or_brand,"Developer & Technical Support Specialist : Part-Time, Ongoing, Fully Remote",https://www.onlinejobs.ph/jobseekers/job/Developer-Technical-Support-Specialist-Part-Time-Ongoing-Fully-Remote-1678452,Part Time,3,"Jun 29, 2026",based on experience,,Wix Wordpress Microsoft 365,"AI/build signals: ai tools | Build surface: website, websites, landing page, landing pages, front-end, repo, html, css | Code/build substrate: front-end, repo, html, css, javascript, api | Trainable language: va, sop, learn | Scarcity/seniority signal: senior, lead, manager, expert, security","We are a U.S.-based executive coaching and leadership development company serving senior leaders and organizations nationwide. As we grow our online presence, digital learning programs, and AI-enabled tools, we are looking for a versatile, dependable..."
201,47,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Go High Level Developer & Full Stack Developer,https://www.onlinejobs.ph/jobseekers/job/Go-High-Level-Developer-Full-Stack-Developer-1677212,Full Time,40,"Jun 26, 2026","$2,000 per month",2000.0,Website Builder GoHighLevel,"AI/build signals: llm | Build surface: website, websites, landing page, landing pages, repo, html, css, javascript | Code/build substrate: repo, html, css, javascript, api, apis | Trainable language: va, sop, learn | Scarcity/seniority signal: manager, expert, advanced, security","We are looking for a detail-obsessed full stack developer who is a Go High Level expert. This is a critical role in our business. Our email operation runs Monday-Friday, without exception, and accuracy matters. This will be a full time job. Your primary..."
